院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语
1100,中央民族大学,24,24,565,117,118,134
1103,中南民族大学,42,42,526,116,111,116
1103,中南民族大学(仅招少数民族),52,30,513,112,099,116
1105,北京大学,30,30,616,124,143,144
1110,中国人民大学,41,44,603,120,146,127
1113,中国人民大学(苏州校区),5,5,576,108,129,133
1115,清华大学,3,5,628,129,149,137
1120,北京交通大学,7,8,567,128,120,134
1125,东南大学,23,26,573,111,127,136
1130,复旦大学,8,9,612,121,141,131
1135,湖南大学,33,35,570,119,128,123
1140,华中科技大学,45,46,571,110,140,134
1145,吉林大学,59,64,567,120,123,130
1150,江南大学,28,30,554,113,127,115
1155,兰州大学,45,48,559,123,130,128
1160,南京大学,18,19,598,122,131,136
1165,南开大学,44,44,590,120,131,135
1170,山东大学,48,52,572,116,127,126
1173,山东大学威海分校,46,47,560,121,111,131
1173,山东大学威海分校(较高收费),2,2,556,120,129,123
1175,四川大学,29,29,575,118,132,129
1180,武汉大学,79,83,586,130,138,136
1180,武汉大学(护理),5,5,550,114,120,129
1185,西安交通大学,8,9,568,124,108,136
1189,西交利物浦大学,40,40,515,106,100,129
1190,厦门大学,22,22,587,115,129,135
1190,厦门大学(较高收费),8,8,557,121,126,129
1195,浙江大学,11,11,600,109,149,133
1200,华北电力大学(保定),6,7,543,106,120,133
1205,中南财经政法大学,114,114,568,123,126,131
1210,中南大学,34,34,567,124,132,120
1215,中山大学,36,36,584,119,123,138
1220,华北电力大学(北京),10,11,557,115,109,135
1225,北京化工大学,16,20,549,110,119,126
1230,北京科技大学,23,24,562,116,108,127
1235,北京邮电大学,11,12,566,115,122,127
1240,长安大学,27,27,546,122,114,123
1250,电子科技大学,8,9,555,118,113,131
1255,东北大学,21,23,557,110,123,119
1265,合肥工业大学,23,25,533,113,114,125
1270,河海大学,25,27,553,111,135,119
1275,华东理工大学,28,30,556,121,112,126
1280,华南理工大学,21,24,564,119,115,138
1285,大连海事大学,6,7,546,114,116,121
1290,上海交通大学,1,2,609,123,140,141
1295,中国石油大学(北京),7,8,556,118,132,130
1300,中国石油大学(华东),32,32,540,115,120,117
1305,天津大学,10,10,580,123,135,131
1310,同济大学,11,11,582,115,133,140
1315,武汉理工大学,35,35,553,118,122,133
1315,武汉理工大学(较高收费),1,1,553,128,119,135
1320,西安电子科技大学,20,22,536,115,119,123
1325,西南交通大学,24,27,546,112,112,135
1330,中国海洋大学,24,26,565,115,127,129
1330,中国海洋大学(较高收费),4,4,519,117,130,120
1335,中国地质大学(北京),5,5,553,114,124,133
1340,中国地质大学(武汉),15,18,548,112,123,126
1345,中国矿业大学(北京),9,10,546,117,114,123
1350,中国矿业大学,41,41,539,115,123,106
1355,重庆大学,15,15,567,106,127,140
1360,华中农业大学,67,71,539,109,130,116
1365,南京农业大学,39,40,540,122,113,122
1370,西北农林科技大学,31,33,543,110,124,116
1375,中国农业大学,9,10,569,111,132,133
1375,中国农业大学(较高收费),6,6,543,110,128,124
1380,北京林业大学,14,14,559,109,135,123
1385,东北林业大学,44,44,531,107,122,124
1390,北京中医药大学,6,7,566,107,139,138
1395,中国药科大学,2,2,547,105,121,127
1405,东北师范大学,35,37,543,124,084,126
1405,东北师范大学(较高收费),5,2,514,110,091,125
1410,华东师范大学,40,44,576,118,122,128
1415,华中师范大学,62,68,563,104,125,121
1415,华中师范大学(较高收费),13,14,523,120,116,124
1420,陕西师范大学,38,38,549,126,115,134
1425,西南大学,26,28,557,115,135,127
1425,西南大学(较高收费),2,3,520,098,138,114
1427,西南大学(荣昌校区),7,7,523,101,129,124
1430,北京外国语大学,8,8,576,121,126,133
1435,北京语言大学,18,18,559,106,130,137
1440,上海外国语大学,5,6,576,129,113,137
1445,上海财经大学,9,10,595,125,131,131
1450,对外经济贸易大学,27,27,583,114,132,137
1455,西南财经大学,35,37,562,124,112,126
1460,中央财经大学,23,25,580,117,132,131
1465,中国政法大学,50,51,578,104,133,128
1470,中国传媒大学,19,20,569,116,125,130
1485,北京航空航天大学,6,6,576,129,126,133
1490,北京理工大学,8,10,571,117,123,129
1495,哈尔滨工业大学,10,11,564,118,118,128
1500,哈尔滨工程大学,21,23,531,105,125,132
1505,南京航空航天大学,15,16,553,121,118,128
1515,西北工业大学,8,8,559,108,117,133
1520,暨南大学,13,14,567,111,125,131
1550,北京工商大学,11,12,551,115,138,117
1565,北京第二外国语学院,12,12,553,119,112,134
1605,天津医科大学,10,10,539,112,137,116
1630,河北工业大学,6,6,533,108,117,125
1635,燕山大学,16,18,531,123,101,116
1640,石家庄铁道大学,13,13,522,100,115,118
1660,山西大学,55,58,523,112,110,113
1680,内蒙古大学,7,8,526,114,109,116
1690,辽宁大学,60,61,541,120,120,130
1695,辽宁工程技术大学,30,25,513,106,129,086
1710,沈阳农业大学,9,9,516,105,105,125
1725,东北财经大学,16,16,558,109,134,134
1725,东北财经大学(较高收费),16,16,522,117,125,129
1740,延边大学,23,24,527,110,120,124
1745,长春理工大学,17,18,514,121,110,114
1760,东北农业大学,17,18,525,118,104,121
1765,哈尔滨医科大学,3,3,518,116,118,109
1790,上海大学,14,15,565,112,136,129
1795,上海理工大学,23,25,542,113,116,111
1795,上海理工大学(较高收费),8,8,526,110,121,123
1805,上海对外经贸大学,41,43,553,121,113,123
1810,华东政法大学,58,60,556,123,138,119
1830,苏州大学,32,36,564,114,122,138
1835,扬州大学,5,10,531,109,110,121
