院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
0175,中国科学院大学,31,31,665,118,120,29
1100,中央民族大学,22,22,608,102,122,30
1103,中南民族大学,120,120,554,118,098,11
1103,中南民族大学(仅招少数民族),78,84,532,111,096,29
1105,北京大学,23,23,684,115,142,11
1106,北京大学医学部,28,29,674,120,130,30
1106,北京大学医学部(护理),7,7,662,130,120,09
1110,中国人民大学,43,47,662,123,131,26
1113,中国人民大学(苏州校区),3,3,636,117,127,23
1115,清华大学,50,55,685,116,139,09
1120,北京交通大学,117,117,620,117,116,12
1120,北京交通大学(较高收费),9,9,586,116,124,14
1121,北京交通大学(威海校区),17,17,567,110,118,14
1125,东南大学,150,180,634,117,124,17
1130,复旦大学,9,9,676,126,130,29
1131,复旦大学医学院,3,3,677,120,138,14
1135,湖南大学,252,265,619,118,116,08
1140,华中科技大学,373,380,636,112,133,12
1145,吉林大学,524,534,611,106,129,00
1145,吉林大学(较高收费),25,25,603,116,121,11
1145,吉林大学(护理),4,4,569,118,089,00
1145,吉林大学(单列专业),27,28,566,117,108,09
1150,江南大学,146,158,596,113,111,11
1150,江南大学(较高收费),3,3,569,096,125,24
1155,兰州大学,109,113,608,096,112,29
1160,南京大学,54,54,661,122,134,26
1165,南开大学,93,95,651,114,122,27
1170,山东大学,240,247,621,116,126,11
1173,山东大学威海分校,103,105,603,108,113,21
1173,山东大学威海分校(较高收费),20,20,595,103,109,00
1175,四川大学,172,175,624,117,124,14
1175,四川大学(护理),12,12,577,106,111,08
1180,武汉大学,404,412,639,123,132,27
1180,武汉大学(较高收费),2,2,628,108,104,00
1180,武汉大学(护理),2,6,585,113,106,27
1185,西安交通大学,124,131,648,120,129,27
1185,西安交通大学(护理),14,16,560,116,107,09
1189,西交利物浦大学,105,133,542,095,106,08
1190,厦门大学,71,72,636,115,123,09
1190,厦门大学(较高收费),14,14,617,120,120,26
1190,厦门大学(护理),25,25,575,119,115,09
1190,厦门大学(单列专业),35,34,523,101,104,30
1195,浙江大学,47,47,668,123,128,24
1196,浙江大学医学院,10,10,653,122,129,26
1200,华北电力大学(保定),96,106,601,116,115,26
1205,中南财经政法大学,134,139,613,112,118,26
1210,中南大学,334,334,621,110,121,00
1215,中山大学,105,107,637,118,123,12
1215,中山大学(护理),4,4,591,110,120,21
1220,华北电力大学(北京),93,98,612,105,117,08
1225,北京化工大学,125,144,602,103,117,06
1225,北京化工大学(较高收费),10,11,568,091,097,30
1230,北京科技大学,125,126,617,112,117,00
1235,北京邮电大学,116,128,631,114,130,14
1237,北京邮电大学(宏福校区),28,28,596,108,128,08
1240,长安大学,267,272,596,111,106,17
1245,大连理工大学,229,252,626,108,121,11
1245,大连理工大学(较高收费),5,5,596,111,132,09
1248,大连理工大学(盘锦校区),68,69,595,120,118,24
1250,电子科技大学,207,217,626,105,124,18
1251,电子科技大学(沙河校区),48,48,610,114,126,27
1251,电子科技大学(沙河校区)(较高收费),20,20,598,105,113,30
1255,东北大学,221,230,608,112,119,11
1258,东北大学秦皇岛分校,138,139,586,105,123,11
1260,东华大学,97,107,602,110,121,08
1265,合肥工业大学,254,267,595,110,121,03
1265,合肥工业大学(较高收费),12,13,572,120,117,09
1268,合肥工业大学(宣城校区),137,138,578,108,115,11
1270,河海大学,173,176,601,114,118,27
1270,河海大学(较高收费),10,10,578,106,110,09
1275,华东理工大学,113,119,614,112,123,17
1280,华南理工大学,79,81,632,115,129,29
1285,大连海事大学,123,127,590,117,111,20
1290,上海交通大学,12,13,680,114,136,15
1295,中国石油大学(北京),75,82,594,115,115,18
1296,中国石油大学(北京)克拉玛依校区,45,32,523,099,102,12
1300,中国石油大学(华东),247,259,581,106,113,26
1305,天津大学,201,207,632,119,130,11
1310,同济大学,114,125,653,116,137,09
1315,武汉理工大学,351,358,606,119,119,09
1315,武汉理工大学(较高收费),18,18,588,101,118,11
1320,西安电子科技大学,233,245,612,122,114,09
1320,西安电子科技大学(较高收费),30,30,581,109,121,20
1325,西南交通大学,185,196,604,116,126,11
1325,西南交通大学(较高收费),18,18,572,107,105,08
1330,中国海洋大学,79,79,609,118,115,27
1330,中国海洋大学(较高收费),10,10,565,114,108,09
1335,中国地质大学(北京),77,79,597,110,127,20
1340,中国地质大学(武汉),195,215,590,098,112,03
1345,中国矿业大学(北京),112,122,589,101,120,12
1350,中国矿业大学,326,333,580,101,112,14
1350,中国矿业大学(较高收费),18,18,569,111,114,11
1355,重庆大学,123,125,621,120,121,30
1355,重庆大学(较高收费),1,1,596,105,125,27
1360,华中农业大学,254,279,575,101,114,08
1360,华中农业大学(较高收费),10,9,524,101,102,12
1365,南京农业大学,218,222,576,116,113,09
1370,西北农林科技大学,368,379,580,103,116,24
1370,西北农林科技大学(较高收费),5,5,564,107,102,09
1375,中国农业大学,94,99,613,112,113,21
1375,中国农业大学(较高收费),9,10,586,112,115,20
1380,北京林业大学,101,104,595,110,115,27
1385,东北林业大学,328,341,559,109,124,20
1390,北京中医药大学,64,66,599,111,128,00
1395,中国药科大学,90,95,598,114,103,06
1405,东北师范大学,95,116,576,090,120,20
1405,东北师范大学(较高收费),22,22,532,107,089,09
1410,华东师范大学,90,95,626,112,127,00
1415,华中师范大学,96,101,602,114,117,11
1415,华中师范大学(较高收费),26,27,551,107,117,09
1420,陕西师范大学,102,112,580,110,113,29
1425,西南大学,105,105,588,113,112,27
1425,西南大学(较高收费),36,38,564,108,111,20
1427,西南大学(荣昌校区),8,8,558,110,105,08
1430,北京外国语大学,16,16,631,105,117,09
1435,北京语言大学,23,23,590,121,119,29
1440,上海外国语大学,13,14,624,118,122,11
1445,上海财经大学,48,48,649,117,119,08
1450,对外经济贸易大学,35,35,640,119,111,00
1455,西南财经大学,52,53,618,118,116,11
1460,中央财经大学,63,68,642,119,126,08
1460,中央财经大学(较高收费),12,12,626,116,128,00
1465,中国政法大学,37,37,630,116,115,23
1470,中国传媒大学,26,27,610,105,115,21
1485,北京航空航天大学,113,113,657,118,129,08
1490,北京理工大学,104,114,640,130,129,06
1490,北京理工大学(较高收费),5,5,616,122,119,30
1495,哈尔滨工业大学,104,104,642,110,131,15
1496,哈尔滨工业大学(威海),134,141,609,112,118,08
1500,哈尔滨工程大学,219,230,599,100,114,11
1505,南京航空航天大学,164,167,617,123,121,26
1510,南京理工大学,126,130,613,116,134,23
1515,西北工业大学,193,197,627,114,124,11
1520,暨南大学,34,37,606,116,105,29
1525,中国科学技术大学,46,46,663,114,131,15
1550,北京工商大学,36,38,577,113,113,14
1550,北京工商大学(较高收费),3,0,　,0,0,0
1560,北京工业大学,18,27,607,105,116,08
1565,北京第二外国语学院,15,15,588,107,118,29
1605,天津医科大学,37,39,613,110,131,15
1630,河北工业大学,50,50,594,113,119,03
1635,燕山大学,110,110,579,107,110,09
1640,石家庄铁道大学,95,104,561,107,119,09
1640,石家庄铁道大学(较高收费),10,6,525,100,113,21
1660,山西大学,76,78,560,112,113,20
1680,内蒙古大学,21,21,558,111,103,12
1690,辽宁大学,75,75,581,110,113,08
1695,辽宁工程技术大学,148,148,541,115,098,08
1695,辽宁工程技术大学(较高收费),10,10,535,102,099,00
1710,沈阳农业大学,156,158,525,104,118,17
