院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
191,中国社会科学院大学,15,15,611,129,118,29
195,上海海关学院,9,9,550,106,107,18
1100,中央民族大学,24,24,599,115,133,9
1100,中央民族大学(其他单列),2,2,589,111,123,0
1103,中南民族大学,94,94,534,111,111,11
1105,北京大学,31,31,647,110,137,11
1110,中国人民大学,42,46,633,130,135,29
1113,中国人民大学(苏州校区),5,5,608,122,127,14
1115,清华大学,2,3,662,128,148,11
1120,北京交通大学,9,9,600,109,136,27
1125,东南大学,20,20,607,110,135,9
1130,复旦大学,11,12,640,117,145,21
1135,湖南大学,29,30,604,116,135,14
1140,华中科技大学,42,43,606,115,136,11
1145,吉林大学,67,68,597,114,136,17
1150,江南大学,19,20,587,109,142,11
1150,江南大学(较高收费),2,2,578,112,127,15
1155,兰州大学,40,41,590,125,122,15
1160,南京大学,17,17,631,115,134,18
1165,南开大学,50,53,620,122,141,12
1170,山东大学,51,51,516,104,109,11
1173,山东大学威海分校,33,33,592,123,146,0
1173,山东大学威海分校(较高收费),2,2,592,108,132,12
1175,四川大学,22,23,607,122,139,11
1180,武汉大学,80,80,617,122,134,3
1185,西安交通大学,14,15,606,117,137,6
1189,西交利物浦大学,42,46,532,116,100,26
1190,厦门大学,20,20,609,117,132,9
1190,厦门大学(较高收费),9,9,594,114,126,0
1190,厦门大学(异地校区),5,6,569,116,117,29
1195,浙江大学,19,19,630,124,143,11
1200,华北电力大学(保定),16,17,568,105,122,0
1205,中南财经政法大学,94,94,597,120,141,14
1210,中南大学,20,20,602,115,142,17
1215,中山大学,29,29,616,118,140,11
1220,华北电力大学(北京),11,12,584,117,114,6
1225,北京化工大学,15,15,581,119,121,11
1230,北京科技大学,23,24,592,118,120,15
1235,北京邮电大学,12,13,594,118,127,27
1240,长安大学,15,15,579,108,121,2
1250,电子科技大学,6,6,591,123,122,12
1255,东北大学,25,25,589,119,133,11
1265,合肥工业大学,15,15,562,112,134,23
1268,合肥工业大学(宣城校区),24,24,555,106,102,6
1270,河海大学,28,29,587,115,130,9
1275,华东理工大学,38,40,588,111,130,18
1280,华南理工大学,20,20,599,111,143,0
1285,大连海事大学,8,8,580,116,130,11
1290,上海交通大学,1,1,643,129,140,15
1295,中国石油大学(北京),6,6,584,102,133,12
1296,中国石油大学(北京)克拉玛依校区,4,5,526,101,123,11
1300,中国石油大学(华东),31,31,570,103,125,12
1310,同济大学,15,15,612,124,138,14
1315,武汉理工大学,35,35,585,122,137,8
1315,武汉理工大学(较高收费),2,2,575,114,135,9
1320,西安电子科技大学,31,33,569,112,132,21
1325,西南交通大学,16,18,583,120,128,30
1330,中国海洋大学,27,30,592,125,115,0
1330,中国海洋大学(较高收费),4,5,565,116,125,0
1335,中国地质大学(北京),5,5,585,119,133,8
1340,中国地质大学(武汉),15,16,586,111,128,24
1345,中国矿业大学(北京),11,11,580,107,132,0
1350,中国矿业大学,25,25,567,109,127,20
1355,重庆大学,20,21,602,114,148,8
1360,华中农业大学,37,39,573,106,126,14
1360,华中农业大学(较高收费),8,8,546,108,115,8
1365,南京农业大学,30,31,576,113,129,24
1370,西北农林科技大学,33,34,573,106,107,21
1375,中国农业大学,12,12,600,126,132,0
1375,中国农业大学(较高收费),6,6,582,120,124,6
1380,北京林业大学,14,14,589,117,133,8
1385,东北林业大学,43,45,556,124,94,26
1390,北京中医药大学,5,5,596,111,143,9
1395,中国药科大学,2,4,581,113,128,12
1405,东北师范大学,37,37,582,121,116,11
1405,东北师范大学(较高收费),10,10,522,109,115,0
1410,华东师范大学,36,38,609,116,136,18
1415,华中师范大学,50,57,594,112,125,12
1415,华中师范大学(较高收费),18,18,558,122,121,9
1420,陕西师范大学,24,24,586,111,124,17
1425,西南大学,19,20,590,117,114,29
1425,西南大学(较高收费),6,6,569,122,114,27
1427,西南大学(荣昌校区),9,9,559,110,117,21
1430,北京外国语大学,15,15,610,114,146,12
1435,北京语言大学,20,20,585,109,120,20
1440,上海外国语大学,8,8,610,127,147,18
1445,上海财经大学,14,15,623,115,142,23
1450,对外经济贸易大学,31,31,612,113,124,9
1455,西南财经大学,33,33,599,118,126,18
1455,西南财经大学(较高收费),2,2,592,110,124,27
1460,中央财经大学,27,29,612,126,135,15
1465,中国政法大学,48,48,612,112,134,24
1470,中国传媒大学,20,20,605,117,141,29
1485,北京航空航天大学,7,7,610,111,148,11
1490,北京理工大学,9,11,606,125,131,0
1495,哈尔滨工业大学,10,11,597,110,135,9
1500,哈尔滨工程大学,23,24,563,105,120,29
1505,南京航空航天大学,15,15,586,112,123,20
1515,西北工业大学,9,9,591,117,133,11
1520,暨南大学,23,24,596,125,118,14
1550,北京工商大学,9,9,572,120,120,11
1565,北京第二外国语学院,12,12,579,109,125,11
1605,天津医科大学,5,5,566,122,117,26
1630,河北工业大学,10,10,566,108,133,18
1635,燕山大学,12,13,559,122,121,8
1640,石家庄铁道大学,10,10,533,99,124,24
1660,山西大学,49,50,547,113,111,14
1680,内蒙古大学,9,9,551,104,109,12
1690,辽宁大学,56,56,568,115,121,14
1695,辽宁工程技术大学,23,23,521,113,115,11
1710,沈阳农业大学,22,22,526,117,107,6
1725,东北财经大学,10,10,585,112,112,15
1725,东北财经大学(较高收费),15,15,543,116,125,9
1740,延边大学,12,13,554,124,118,8
1745,长春理工大学,10,10,533,105,119,5
1760,东北农业大学,31,31,551,104,128,18
1765,哈尔滨医科大学,3,3,528,99,101,0
1790,上海大学,15,15,598,120,125,8
1790,上海大学(较高收费),5,5,587,110,133,29
1795,上海理工大学,28,30,565,101,130,15
1795,上海理工大学(较高收费),8,9,554,114,110,11
1805,上海对外经贸大学,46,46,583,113,126,21
1810,华东政法大学,56,57,589,116,120,6
1830,苏州大学,50,55,593,120,122,12
1835,扬州大学,11,12,562,112,118,14
1840,江苏大学,33,33,562,112,120,26
1845,南京工业大学,16,16,556,111,118,5
1855,南京师范大学,27,28,591,123,126,15
1860,南京信息工程大学,21,21,556,108,123,11
