代码,名称,分数,排名
1100,中央民族大学,579,1737
1103,中南民族大学,538,8100
1103,中南民族大学(少数民族),524,12161
1105,北京大学,629,47
1110,中国人民大学,617,154
1113,中国人民大学(苏州校区),590,1013
1115,清华大学,638,19
1120,北京交通大学,585,1318
1125,东南大学,591,953
1130,复旦大学,625,76
1135,湖南大学,586,1265
1140,华中科技大学,588,1131
1145,吉林大学,581,1576
1150,江南大学,569,2719
1150,江南大学(较高收费),557,4328
1155,兰州大学,576,1998
1160,南京大学,613,214
1165,南开大学,605,405
1170,山东大学,589,1065
1173,山东大学威海分校,576,1998
1173,山东大学威海分校(较高收费),571,2502
1175,四川大学,591,953
1180,武汉大学,603,464
1180,武汉大学(护理),580,1644
1185,西安交通大学,587,1193
1189,西交利物浦大学,520,13557
1190,厦门大学,603,464
1190,厦门大学(较高收费),573,2299
1190,厦门大学(单列专业),546,6308
1195,浙江大学,614,199
1200,华北电力大学(保定),554,4864
1205,中南财经政法大学,583,1439
1210,中南大学,583,1439
1215,中山大学,601,524
1220,华北电力大学(北京),572,2385
1225,北京化工大学,564,3310
1230,北京科技大学,576,1998
1235,北京邮电大学,576,1998
1240,长安大学,561,3741
1250,电子科技大学,573,2299
1255,东北大学,572,2385
1265,合肥工业大学,549,5735
1268,合肥工业大学(宣城校区),534,9158
1270,河海大学,569,2719
1275,华东理工大学,570,2604
1280,华南理工大学,582,1510
1285,大连海事大学,564,3310
1290,上海交通大学,624,86
1295,中国石油大学(北京),571,2502
1300,中国石油大学(华东),555,4672
1310,同济大学,598,633
1315,武汉理工大学,570,2604
1315,武汉理工大学(较高收费),569,2719
1320,西安电子科技大学,553,5023
1325,西南交通大学,565,3181
1330,中国海洋大学,578,1819
1330,中国海洋大学(较高收费),555,4672
1335,中国地质大学(北京),566,3053
1340,中国地质大学(武汉),568,2827
1345,中国矿业大学(北京),562,3603
1350,中国矿业大学,554,4864
1355,重庆大学,583,1439
1360,华中农业大学,554,4864
1360,华中农业大学(较高收费),521,13160
1365,南京农业大学,556,4492
1370,西北农林科技大学,556,4492
1375,中国农业大学,586,1265
1375,中国农业大学(较高收费),561,3741
1380,北京林业大学,575,2095
1385,东北林业大学,543,6918
1390,北京中医药大学,580,1644
1395,中国药科大学,562,3603
1405,东北师范大学,563,3445
1405,东北师范大学(较高收费),518,14350
1410,华东师范大学,593,843
1415,华中师范大学,578,1819
1415,华中师范大学(较高收费),539,7851
1420,陕西师范大学,568,2827
1425,西南大学,575,2095
1425,西南大学(较高收费),547,6106
1427,西南大学(荣昌校区),543,6918
1430,北京外国语大学,596,718
1435,北京语言大学,574,2198
1440,上海外国语大学,595,759
1445,上海财经大学,613,214
1450,对外经济贸易大学,594,799
1455,西南财经大学,582,1510
1460,中央财经大学,597,666
1465,中国政法大学,594,799
1470,中国传媒大学,590,1013
1485,北京航空航天大学,596,718
1490,北京理工大学,591,953
1495,哈尔滨工业大学,580,1644
1500,哈尔滨工程大学,545,6515
1505,南京航空航天大学,569,2719
1515,西北工业大学,574,2198
1520,暨南大学,579,1737
1550,北京工商大学,555,4672
1560,北京工业大学,558,4175
1565,北京第二外国语学院,574,2198
1605,天津医科大学,554,4864
1630,河北工业大学,549,5735
1635,燕山大学,544,6721
1640,石家庄铁道大学,530,10284
1660,山西大学,534,9158
1680,内蒙古大学,535,8904
1690,辽宁大学,554,4864
1695,辽宁工程技术大学,520,13557
1710,沈阳农业大学,520,13557
1725,东北财经大学,575,2095
1725,东北财经大学(较高收费),526,11579
1740,延边大学,539,7851
1745,长春理工大学,523,12510
1760,东北农业大学,540,7643
1765,哈尔滨医科大学,528,10896
1790,上海大学,583,1439
1795,上海理工大学,555,4672
1795,上海理工大学(较高收费),539,7851
1805,上海对外经贸大学,567,2954
1810,华东政法大学,574,2198
1830,苏州大学,578,1819
1835,扬州大学,549,5735
1840,江苏大学,555,4672
1845,南京工业大学,543,6918
1855,南京师范大学,575,2095
1860,南京信息工程大学,541,7401
1880,宁波大学,552,5172
1885,安徽大学,556,4492
1895,福州大学,564,3310
1910,南昌大学,555,4672
1915,江西财经大学,562,3603
1930,湘潭大学,547,6106
1935,湖南师范大学,559,4009
1960,广东外语外贸大学,571,2502
1965,深圳大学,567,2954
1970,华南农业大学,543,6918
1975,广州中医药大学,564,3310
1985,华南师范大学,566,3053
2000,广西大学,528,10896
2000,广西大学(较高收费),　,FAIL
2030,西南政法大学,570,2604
2030,西南政法大学(较高收费),556,4492
2035,重庆邮电大学,539,7851
2080,云南大学,555,4672
2090,西北大学,571,2502
2095,陕西科技大学,533,9467
2100,西安建筑科技大学,540,7643
2105,西安邮电大学,543,6918
2110,西安外国语大学,555,4672
2115,西北政法大学,555,4672
2120,新疆大学,519,13956
2125,青海大学,531,9985
2130,石河子大学,527,11237
2205,青岛大学,549,5735
2210,湖北大学,544,6721
2215,中国民航大学,543,6918
2220,武汉科技大学,550,5534
2225,首都师范大学,557,4328
2230,天津财经大学,564,3310
2240,南京审计大学,562,3603
2250,天津外国语大学,553,5023
2255,浙江理工大学,542,7152
2265,南京财经大学,560,3896
2270,江苏科技大学,536,8635
2280,北京建筑大学,539,7851
2285,沈阳建筑大学,522,12809
2290,中国计量大学,539,7851
2295,南华大学,528,10896
2300,长沙理工大学,533,9467
2305,贵州大学,547,6106
2310,南方医科大学,547,6106
2315,南京邮电大学,549,5735
2320,北方工业大学,542,7152
2325,华侨大学,544,6721
2330,西安工业大学,531,9985
2340,汕头大学,554,4864
2345,宁波诺丁汉大学,546,6308
2350,大连民族大学,526,11579
2360,温州肯恩大学,519,13956
2365,太原理工大学,547,6106
2375,东北石油大学,517,14756
2380,北京信息科技大学,541,7401
2385,安徽财经大学,549,5735
2385,安徽财经大学(较高收费),517,14756
2390,上海师范大学,549,5735
2390,上海师范大学(较高收费),533,9467
2395,集美大学,548,5931
2400,北京物资学院,540,7643
2405,天津师范大学,546,6308
2410,青岛理工大学,536,8635
2415,浙江工业大学,540,7643
2425,湖南科技大学,531,9985
2435,江西理工大学,517,14756
2450,成都理工大学,530,10284
2500,首都经济贸易大学,567,2954
2505,南京林业大学,540,7643
2510,西南科技大学,526,11579
2515,西南石油大学,527,11237
2520,西安工程大学,519,13956
2525,天津工业大学,537,8367
2530,中北大学,529,10566
2535,西安科技大学,530,10284
2540,河北科技大学,517,14756
2550,北京联合大学,542,7152
2565,南通大学,533,9467
2575,浙江师范大学,544,6721
2610,黑龙江中医药大学,518,14350
2615,湖南中医药大学,542,7152
2620,成都中医药大学,566,3053
2655,湖北中医药大学,530,10284
2750,海南大学,543,6918
2750,海南大学(较高收费),518,14350
2755,宁夏大学,536,8635
2780,山东科技大学,534,9158
2780,山东科技大学(较高收费),521,13160
2785,河北大学,537,8367
2790,辽宁石油化工大学,519,13956
2795,沈阳工业大学,528,10896
2800,中南林业科技大学,532,9736
2805,西安理工大学,529,10566
2850,广州大学,551,5350
2855,广州医科大学,521,13160
2860,上海海事大学,552,5172
2865,重庆交通大学,535,8904
2875,上海海洋大学,540,7643
2875,上海海洋大学(较高收费),532,9736
2880,常州大学,532,9736
2885,华东交通大学,518,14350
2890,重庆工商大学,548,5931
2895,武汉工程大学,528,10896
2905,三峡大学,517,14756
2910,四川外国语大学,555,4672
2920,山西财经大学,541,7401
2925,上海立信会计金融学院,565,3181
3020,西南民族大学,526,11579
3040,上海电力学院,524,12161
3175,北京印刷学院,537,8367
3240,天津商业大学,544,6721
3595,大连外国语大学,541,7401
3695,黑龙江大学,517,14756
3725,哈尔滨商业大学,529,10566
3815,上海应用技术大学,520,13557
4055,杭州师范大学,540,7643
4060,浙江工商大学,554,4864
4195,福建农林大学,527,11237
4205,福建师范大学,536,8635
4275,东华理工大学,522,12809
4350,济南大学,536,8635
4395,山东师范大学,533,9467
4485,山东财经大学,545,6515
4550,湖北工业大学,526,11579
4575,武汉纺织大学,518,14350
4700,湖南农业大学,526,11579
4890,北京师范大学-香港浸会大学联合国际学院,517,14756
5035,重庆理工大学,535,8904
5055,重庆师范大学,522,12809
5080,四川师范大学,522,12809
5100,西华大学,522,12809
5115,西南医科大学(原泸州医学院),519,13956
5230,昆明理工大学,536,8635
5610,上海政法学院,542,7152
5995,郑州大学(中外合作办学),518,14350
6000,郑州大学,556,4492
6000,郑州大学(护理),517,14756
6005,河南大学,537,8367
6009,河南大学(中外合作办学),517,14756
6010,河南农业大学,522,12809
6015,河南中医药大学,517,14756
6030,河南师范大学,526,11579
6080,河南财经政法大学,528,10896
6080,河南财经政法大学(较高收费),517,14756
6085,河南科技大学,522,12809
6095,华北水利水电大学,525,11867
6100,河南理工大学,521,13160
6105,河南工业大学,523,12510
6115,中原工学院,517,14756
