院校代号,院校名称,计划,实际投档人数投档最低分,语文,数学,外语听力
0175,中国科学院大学,31,31,650,118,124,15
0191,中国社会科学院大学,7,7,626,107,124,08
0195,上海海关学院,14,14,539,099,124,18
1100,中央民族大学,19,19,588,116,125,23
1103,中南民族大学,188,188,511,115,107,09
1105,北京大学,27,27,672,121,140,08
1106,北京大学医学部,33,33,657,119,137,14
1106,北京大学医学部(医护类),5,5,646,115,140,09
1110,中国人民大学,43,45,645,116,129,08
1113,中国人民大学(苏州校区),3,3,619,117,125,11
1115,清华大学,59,64,673,115,143,08
1120,北京交通大学,113,113,598,112,125,11
1120,北京交通大学(较高收费),16,16,565,116,112,27
1121,北京交通大学(威海校区),18,19,547,116,094,14
1125,东南大学,152,152,613,108,131,09
1130,复旦大学,8,8,656,121,126,11
1131,复旦大学医学院,3,3,661,115,136,02
1135,湖南大学,241,253,596,110,113,09
1135,湖南大学(较高收费),7,7,589,103,130,11
1140,华中科技大学,387,391,615,128,118,14
1145,吉林大学,526,552,576,111,129,08
1145,吉林大学(较高收费),20,20,587,106,126,14
1145,吉林大学(医护类),10,10,548,120,120,11
1145,吉林大学(农林矿),32,32,544,125,100,11
1150,江南大学,136,146,574,105,118,29
1150,江南大学(较高收费),3,3,550,114,111,26
1155,兰州大学,121,125,577,098,116,11
1160,南京大学,56,56,648,118,132,26
1165,南开大学,95,99,634,117,133,21
1170,山东大学,218,222,588,112,127,20
1170,山东大学(较高收费),29,30,578,114,133,14
1173,山东大学威海分校,104,107,581,112,120,06
1173,山东大学威海分校(较高收费),20,20,574,119,109,24
1175,四川大学,183,192,602,111,112,24
1175,四川大学(医护类),12,12,555,096,115,11
1180,武汉大学,406,406,619,107,134,14
1185,西安交通大学,123,137,630,103,131,29
1185,西安交通大学(医护类),16,16,555,108,105,17
1189,西交利物浦大学,108,124,522,104,115,00
1190,厦门大学,79,86,612,110,133,09
1190,厦门大学(较高收费),14,14,595,111,117,14
1190,厦门大学(医护类),33,33,569,113,133,11
1190,厦门大学(异地校区),35,40,526,099,099,30
1195,浙江大学,46,46,653,115,129,14
1196,浙江大学医学院,9,9,635,122,127,29
1200,华北电力大学(保定),120,126,574,109,119,11
1205,中南财经政法大学,132,132,585,126,126,11
1210,中南大学,341,341,598,122,118,14
1215,中山大学,113,113,616,103,130,00
1215,中山大学(医护类),5,5,569,103,108,14
1220,华北电力大学(北京),95,100,574,110,122,18
1225,北京化工大学,106,114,579,105,117,00
1225,北京化工大学(较高收费),16,18,549,106,119,20
1230,北京科技大学,137,139,592,104,131,06
1235,北京邮电大学,115,121,609,117,115,11
1237,北京邮电大学(宏福校区),29,30,578,109,126,23
1240,长安大学,267,275,568,118,103,11
1245,大连理工大学,201,201,594,108,118,09
1245,大连理工大学(较高收费),14,14,554,109,110,29
1245,大连理工大学(其他单列),19,19,574,101,112,11
1248,大连理工大学(盘锦校区),59,60,576,112,130,26
1248,大连理工大学(盘锦校区)(较高收费),11,11,542,108,099,26
1250,电子科技大学,221,223,603,115,111,06
1251,电子科技大学(沙河校区),48,48,595,109,121,11
1251,电子科技大学(沙河校区)(较高收费),25,25,581,108,121,09
1255,东北大学,222,233,583,113,135,17
1258,东北大学秦皇岛分校,138,141,564,104,125,11
1260,东华大学,97,112,580,102,118,00
1265,合肥工业大学,247,259,566,105,115,09
1265,合肥工业大学(较高收费),8,8,563,111,100,26
1268,合肥工业大学(宣城校区),145,145,556,104,118,06
1270,河海大学,176,185,577,102,125,14
1270,河海大学(较高收费),10,10,558,115,106,09
1275,华东理工大学,109,114,592,106,128,26
1280,华南理工大学,77,79,610,114,121,11
1285,大连海事大学,127,128,564,113,117,26
1290,上海交通大学,12,12,658,118,142,18
1295,中国石油大学(北京),67,70,568,099,122,11
1296,中国石油大学(北京)克拉玛依校区,66,71,500,109,094,00
1300,中国石油大学(华东),239,246,554,115,106,21
1305,天津大学,228,239,610,110,117,08
1310,同济大学,118,136,637,105,118,27
1315,武汉理工大学,360,364,581,113,117,14
1315,武汉理工大学(较高收费),20,20,567,113,108,11
1320,西安电子科技大学,232,241,588,109,126,00
1320,西安电子科技大学(较高收费),30,30,561,115,116,23
1325,西南交通大学,150,150,581,106,121,12
1325,西南交通大学(较高收费),17,17,555,107,105,27
1325,西南交通大学(异地校区),31,39,526,114,103,11
1330,中国海洋大学,81,89,582,118,101,17
1330,中国海洋大学(较高收费),10,11,552,106,124,00
1335,中国地质大学(北京),77,79,570,110,118,11
1340,中国地质大学(武汉),199,209,567,100,113,00
