院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
191,中国社会科学院大学,16,16,639,122,134,0
195,上海海关学院,10,10,589,117,127,11
1100,中央民族大学,16,16,630,122,148,26
1100,中央民族大学（少数民族）,4,4,622,113,133,0
1100,中央民族大学（其他单列）,4,4,611,114,131,30
1103,中南民族大学,50,50,584,116,138,8
1103,中南民族大学（少数民族）,44,44,568,104,112,0
1105,北京大学,32,32,666,127,150,9
1110,中国人民大学,42,42,658,121,148,8
1113,中国人民大学（苏州校区）,3,3,639,115,145,0
1115,清华大学,2,2,670,130,145,11
1120,北京交通大学,5,5,631,120,136,8
1121,北京交通大学（威海校区）,5,5,599,115,129,27
1125,东南大学,16,16,636,124,130,11
1130,复旦大学,11,11,663,126,149,29
1135,湖南大学,34,34,630,118,137,18
1140,华中科技大学,42,42,635,115,142,11
1145,吉林大学,68,72,627,115,136,8
1150,江南大学,21,22,618,123,129,29
1150,江南大学（较高收费）,2,2,611,115,135,14
1155,兰州大学,30,30,620,125,138,11
1160,南京大学,17,17,655,115,138,14
1165,南开大学,52,52,645,116,137,30
1170,山东大学,57,57,629,107,134,12
1173,山东大学威海分校,31,31,622,123,140,0
1173,山东大学威海分校（较高收费）,2,2,626,120,131,9
1175,四川大学,23,23,636,115,147,29
1180,武汉大学,96,96,643,113,148,15
1185,西安交通大学,6,6,634,120,139,26
1189,西交利物浦大学,42,51,576,115,119,11
1190,厦门大学,23,23,641,120,147,11
1190,厦门大学（较高收费）,9,9,628,113,148,30
1190,厦门大学（异地校区）,7,7,611,112,132,30
1195,浙江大学,19,19,655,116,140,30
1200,华北电力大学（保定）,14,15,601,120,144,8
1205,中南财经政法大学,94,94,627,110,144,0
1210,中南大学,20,20,631,117,131,21
1215,中山大学,29,29,643,112,144,30
1220,华北电力大学（北京）,12,12,616,120,133,9
1225,北京化工大学,16,20,614,108,124,8
1230,北京科技大学,22,23,622,123,142,14
1235,北京邮电大学,8,9,625,120,129,29
1240,长安大学,17,18,609,108,148,8
1250,电子科技大学,12,12,622,120,134,8
1255,东北大学,27,27,619,124,132,0
1265,合肥工业大学,15,15,599,111,127,5
1268,合肥工业大学（宣城校区）,24,24,594,112,126,9
1270,河海大学,28,28,618,106,143,11
1275,华东理工大学,38,40,619,112,124,11
1280,华南理工大学,20,21,629,124,141,9
1285,大连海事大学,8,8,613,111,131,27
1290,上海交通大学,1,1,664,118,150,15
1295,中国石油大学（北京）,5,6,614,117,129,9
1296,中国石油大学（北京）克拉玛依校区,12,12,568,100,141,5
1300,中国石油大学（华东）,31,31,603,114,137,9
1305,天津大学,18,18,636,116,140,12
1310,同济大学,15,15,642,118,141,24
1315,武汉理工大学,37,38,615,120,148,23
1315,武汉理工大学（较高收费）,2,2,612,117,130,14
1320,西安电子科技大学,31,33,605,117,147,9
1325,西南交通大学,16,17,615,119,135,8
1330,中国海洋大学,32,34,622,120,139,11
1330,中国海洋大学（较高收费）,4,5,603,121,129,11
1335,中国地质大学（北京）,5,5,614,119,129,12
1340,中国地质大学（武汉）,16,17,615,118,134,9
1345,中国矿业大学（北京）,11,12,610,114,134,29
1350,中国矿业大学,25,25,602,118,137,9
1355,重庆大学,20,20,631,115,140,14
1360,华中农业大学,37,39,608,114,136,0
1360,华中农业大学（较高收费）,8,8,588,107,128,11
1365,南京农业大学,30,30,612,121,136,9
1370,西北农林科技大学,35,36,607,113,132,6
1375,中国农业大学,14,14,630,122,132,14
1375,中国农业大学（较高收费）,6,6,616,126,139,27
1380,北京林业大学,13,13,618,119,139,0
1385,东北林业大学,43,44,593,108,141,0
1390,北京中医药大学,4,4,615,118,131,21
1395,中国药科大学,2,3,614,115,137,11
1405,东北师范大学,39,39,610,111,144,14
1405,东北师范大学（较高收费）,7,7,576,115,116,9
1410,华东师范大学,36,40,637,122,132,17
1415,华中师范大学,54,54,621,126,128,12
1415,华中师范大学（其他单列）,14,14,601,112,137,29
1420,陕西师范大学,19,19,617,118,138,12
1425,西南大学,15,16,621,117,125,9
1425,西南大学（较高收费）,6,6,607,123,134,27
1427,西南大学（荣昌校区）,6,6,599,123,127,9
1430,北京外国语大学,13,13,637,120,137,11
1430,北京外国语大学（较高收费）,2,2,625,122,130,29
1435,北京语言大学,17,17,617,123,132,17
1440,上海外国语大学,9,9,632,122,135,27
1445,上海财经大学,14,14,650,121,141,15
1450,对外经济贸易大学,29,29,643,116,138,14
1455,西南财经大学,33,35,621,116,133,30
1455,西南财经大学（较高收费）,2,2,620,116,136,8
1460,中央财经大学,26,26,619,115,141,17
1465,中国政法大学,48,48,632,120,146,30
1470,中国传媒大学,23,23,634,118,131,8
1485,北京航空航天大学,8,8,639,126,136,9
1490,北京理工大学,9,9,634,123,127,8
1495,哈尔滨工业大学,10,10,628,121,130,14
1500,哈尔滨工程大学,22,24,599,109,139,12
1505,南京航空航天大学,15,16,617,121,139,8
1515,西北工业大学,7,7,622,121,126,0
1520,暨南大学,26,26,621,110,119,0
1520,暨南大学（较高收费）,3,3,628,110,144,30
1550,北京工商大学,11,11,604,117,136,27
1565,北京第二外国语学院,10,10,612,126,114,27
1605,天津医科大学,3,3,599,121,116,29
1630,河北工业大学,10,10,601,113,137,12
1635,燕山大学,22,23,588,118,114,6
1640,石家庄铁道大学,10,10,567,116,112,0
1660,山西大学,33,33,583,119,130,11
1680,内蒙古大学,11,11,586,104,129,30
1690,辽宁大学,58,58,602,118,132,0
1695,辽宁工程技术大学,13,13,556,108,127,27
1710,沈阳农业大学,10,10,559,109,125,11
1725,东北财经大学,9,9,611,114,145,0
1725,东北财经大学（较高收费）,14,14,552,103,131,12
1740,延边大学,22,22,589,118,116,14
1745,长春理工大学,8,8,572,114,126,12
1760,东北农业大学,30,30,587,120,144,14
1765,哈尔滨医科大学,3,3,574,114,127,9
1790,上海大学,6,6,628,111,149,8
1790,上海大学（较高收费）,3,4,624,113,148,30
1795,上海理工大学,28,29,600,114,139,26
1795,上海理工大学（较高收费）,7,7,591,112,125,29
1805,上海对外经贸大学,37,37,610,116,129,29
1805,上海对外经贸大学（较高收费）,6,6,608,121,128,27
1810,华东政法大学,56,56,619,109,140,14
1830,苏州大学,40,40,623,114,150,11
1830,苏州大学（较高收费）,4,4,618,113,133,0
1835,扬州大学,14,15,598,113,130,15
1840,江苏大学,33,33,597,111,135,11
1845,南京工业大学,16,16,592,119,117,12
1855,南京师范大学,32,32,621,122,128,30
1860,南京信息工程大学,16,17,594,105,135,9
