院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
175,中国科学院大学,31,31,669,119,147,9
191,中国社会科学院大学,13,13,573,101,115,0
195,上海海关学院,13,13,569,103,115,9
305,国防科技大学,40,40,638,115,133,12
445,陆军军医大学,20,20,610,123,125,14
450,空军军医大学,31,31,585,112,129,26
1100,中央民族大学,17,17,611,116,121,11
1100,中央民族大学（少数民族）,4,4,606,112,119,30
1103,中南民族大学,110,111,555,104,130,11
1103,中南民族大学（少数民族）,78,80,532,112,110,23
1105,北京大学,25,27,687,122,140,9
1106,北京大学医学部,31,31,676,121,141,24
1106,北京大学医学部（医护类）,5,5,669,111,143,26
1106,北京大学医学部（其他单列）,5,5,674,114,147,9
1110,中国人民大学,43,43,667,118,135,9
1113,中国人民大学（苏州校区）,3,3,646,111,127,30
1115,清华大学,59,63,688,117,145,30
1120,北京交通大学,112,112,624,115,144,0
1120,北京交通大学（较高收费）,17,17,595,112,129,9
1121,北京交通大学（威海校区）,30,30,569,107,125,11
1125,东南大学,156,157,640,110,129,0
1130,复旦大学,10,10,680,123,142,0
1131,复旦大学医学院,3,3,677,130,141,8
1135,湖南大学,246,246,621,120,117,14
1140,华中科技大学,386,389,642,108,139,11
1145,吉林大学,512,538,612,112,116,6
1145,吉林大学（较高收费）,20,20,611,117,116,8
1145,吉林大学（医护类）,10,10,578,104,109,17
1145,吉林大学（农林矿）,35,35,578,101,129,11
1150,江南大学,137,146,602,101,135,17
1150,江南大学（较高收费）,3,3,582,103,125,0
1155,兰州大学,111,114,607,114,138,9
1155,兰州大学（较高收费）,15,15,584,104,113,9
1160,南京大学,43,43,669,115,140,9
1165,南开大学,98,99,657,111,138,30
1170,山东大学,210,215,622,106,132,0
1170,山东大学（较高收费）,31,31,615,111,121,12
1173,山东大学威海分校,99,100,608,99,139,8
1173,山东大学威海分校（较高收费）,21,21,603,112,111,9
1175,四川大学,177,177,632,115,123,12
1175,四川大学（医护类）,12,12,583,114,119,9
1180,武汉大学,392,392,643,118,132,11
1185,西安交通大学,114,119,654,107,143,8
1189,西交利物浦大学,108,130,552,112,103,8
1190,厦门大学,82,82,637,115,134,9
1190,厦门大学（较高收费）,14,14,620,128,122,11
1190,厦门大学（医护类）,30,30,603,95,130,12
1190,厦门大学（异地校区）,38,38,559,102,109,9
1195,浙江大学,44,44,674,122,146,9
1196,浙江大学医学院,9,9,666,128,130,11
1200,华北电力大学（保定）,122,132,601,120,123,14
1205,中南财经政法大学,128,128,612,108,135,12
1210,中南大学,342,342,627,112,132,9
1215,中山大学,116,118,643,103,143,9
1215,中山大学（医护类）,5,5,593,107,117,11
1220,华北电力大学（北京）,95,95,608,112,123,11
1225,北京化工大学,111,114,606,106,129,9
1225,北京化工大学（较高收费）,20,20,580,122,112,11
1230,北京科技大学,138,140,616,107,125,11
1235,北京邮电大学,120,122,633,114,131,5
1237,北京邮电大学（宏福校区）,29,30,607,112,122,14
1240,长安大学,259,265,592,109,130,12
1240,长安大学（较高收费）,10,10,568,108,117,9
1245,大连理工大学,209,220,624,110,119,14
1245,大连理工大学（较高收费）,6,6,603,108,121,11
1245,大连理工大学（其他单列）,19,19,606,99,120,11
1248,大连理工大学（盘锦校区）,57,58,602,109,120,11
1248,大连理工大学（盘锦校区）（较高收费）,13,13,577,110,111,11
1250,电子科技大学,204,205,633,119,123,12
1251,电子科技大学（沙河校区）,49,49,627,106,133,8
1251,电子科技大学（沙河校区）（较高收费）,35,37,610,108,133,11
1255,东北大学,222,234,609,110,122,18
1258,东北大学秦皇岛分校,138,141,593,101,120,9
1260,东华大学,97,117,606,107,126,6
1265,合肥工业大学,256,264,595,109,124,14
1265,合肥工业大学（较高收费）,3,3,539,109,114,12
1268,合肥工业大学（宣城校区）,146,146,583,110,118,0
1270,河海大学,173,173,604,112,119,29
1270,河海大学（较高收费）,10,10,583,121,114,27
1275,华东理工大学,109,112,616,106,130,0
1280,华南理工大学,77,78,637,104,135,27
1285,大连海事大学,127,127,587,114,118,8
1290,上海交通大学,12,21,681,121,143,11
1295,中国石油大学（北京）,65,69,592,115,107,30
